,name,qid,measure,value
308,TerrierRetr(BM25),test-economy-fiahwpamu-con03a,RR@10,0.5
294,TerrierRetr(BM25),test-economy-fiahwpamu-pro01a,R@10,1.0
295,TerrierRetr(BM25),test-economy-fiahwpamu-pro01a,R@100,1.0
296,TerrierRetr(BM25),test-economy-fiahwpamu-pro01a,RR@10,0.3333333333333333
297,TerrierRetr(BM25),test-economy-fiahwpamu-pro03a,R@10,0.0
298,TerrierRetr(BM25),test-economy-fiahwpamu-pro03a,R@100,0.0
299,TerrierRetr(BM25),test-economy-fiahwpamu-pro03a,RR@10,0.0
300,TerrierRetr(BM25),test-economy-fiahwpamu-pro04a,R@10,1.0
301,TerrierRetr(BM25),test-economy-fiahwpamu-pro04a,R@100,1.0
302,TerrierRetr(BM25),test-economy-fiahwpamu-pro04a,RR@10,0.5
291,TerrierRetr(BM25),test-economy-fiahwpamu-pro05a,R@10,1.0
292,TerrierRetr(BM25),test-economy-fiahwpamu-pro05a,R@100,1.0
293,TerrierRetr(BM25),test-economy-fiahwpamu-pro05a,RR@10,0.5
3,TerrierRetr(BM25),test-environment-aeghhgwpe-con02a,R@10,1.0
4,TerrierRetr(BM25),test-environment-aeghhgwpe-con02a,R@100,1.0
5,TerrierRetr(BM25),test-environment-aeghhgwpe-con02a,RR@10,0.5
6,TerrierRetr(BM25),test-environment-aeghhgwpe-con03a,R@10,1.0
7,TerrierRetr(BM25),test-environment-aeghhgwpe-con03a,R@100,1.0
8,TerrierRetr(BM25),test-environment-aeghhgwpe-con03a,RR@10,0.25
0,TerrierRetr(BM25),test-environment-aeghhgwpe-pro04a,R@10,1.0
1,TerrierRetr(BM25),test-environment-aeghhgwpe-pro04a,R@100,1.0
2,TerrierRetr(BM25),test-environment-aeghhgwpe-pro04a,RR@10,0.5
57,TerrierRetr(BM25),test-environment-aiahwagit-con01a,R@10,1.0
58,TerrierRetr(BM25),test-environment-aiahwagit-con01a,R@100,1.0
59,TerrierRetr(BM25),test-environment-aiahwagit-con01a,RR@10,0.14285714285714285
54,TerrierRetr(BM25),test-environment-aiahwagit-con02a,R@10,1.0
55,TerrierRetr(BM25),test-environment-aiahwagit-con02a,R@100,1.0
56,TerrierRetr(BM25),test-environment-aiahwagit-con02a,RR@10,0.25
45,TerrierRetr(BM25),test-environment-aiahwagit-pro01a,R@10,1.0
46,TerrierRetr(BM25),test-environment-aiahwagit-pro01a,R@100,1.0
47,TerrierRetr(BM25),test-environment-aiahwagit-pro01a,RR@10,0.14285714285714285
39,TerrierRetr(BM25),test-environment-aiahwagit-pro02a,R@10,1.0
