,name,qid,measure,value
155,TerrierRetr(BM25),test-free-speech-debate-fsaphgiap-pro02a,RR@10,0.3333333333333333
156,TerrierRetr(BM25),test-free-speech-debate-fsaphgiap-pro03a,R@10,1.0
157,TerrierRetr(BM25),test-free-speech-debate-fsaphgiap-pro03a,R@100,1.0
158,TerrierRetr(BM25),test-free-speech-debate-fsaphgiap-pro03a,RR@10,0.1111111111111111
159,TerrierRetr(BM25),test-free-speech-debate-fsaphgiap-pro04a,R@10,0.0
160,TerrierRetr(BM25),test-free-speech-debate-fsaphgiap-pro04a,R@100,0.0
161,TerrierRetr(BM25),test-free-speech-debate-fsaphgiap-pro04a,RR@10,0.0
183,TerrierRetr(BM25),test-free-speech-debate-ldhwprhs-con01a,R@10,0.0
184,TerrierRetr(BM25),test-free-speech-debate-ldhwprhs-con01a,R@100,0.0
185,TerrierRetr(BM25),test-free-speech-debate-ldhwprhs-con01a,RR@10,0.0
180,TerrierRetr(BM25),test-free-speech-debate-ldhwprhs-con03a,R@10,1.0
181,TerrierRetr(BM25),test-free-speech-debate-ldhwprhs-con03a,R@100,1.0
182,TerrierRetr(BM25),test-free-speech-debate-ldhwprhs-con03a,RR@10,0.25
138,TerrierRetr(BM25),test-free-speech-debate-magghbcrg-con03a,R@10,1.0
139,TerrierRetr(BM25),test-free-speech-debate-magghbcrg-con03a,R@100,1.0
140,TerrierRetr(BM25),test-free-speech-debate-magghbcrg-con03a,RR@10,0.16666666666666666
135,TerrierRetr(BM25),test-free-speech-debate-magghbcrg-pro01a,R@10,0.0
136,TerrierRetr(BM25),test-free-speech-debate-magghbcrg-pro01a,R@100,1.0
137,TerrierRetr(BM25),test-free-speech-debate-magghbcrg-pro01a,RR@10,0.0
132,TerrierRetr(BM25),test-free-speech-debate-magghbcrg-pro02a,R@10,1.0
133,TerrierRetr(BM25),test-free-speech-debate-magghbcrg-pro02a,R@100,1.0
134,TerrierRetr(BM25),test-free-speech-debate-magghbcrg-pro02a,RR@10,0.3333333333333333
150,TerrierRetr(BM25),test-free-speech-debate-nshbbsbfb-con01a,R@10,1.0
151,TerrierRetr(BM25),test-free-speech-debate-nshbbsbfb-con01a,R@100,1.0
152,TerrierRetr(BM25),test-free-speech-debate-nshbbsbfb-con01a,RR@10,0.5
147,TerrierRetr(BM25),test-free-speech-debate-nshbbsbfb-con03a,R@10,0.0
148,TerrierRetr(BM25),test-free-speech-debate-nshbbsbfb-con03a,R@100,0.0
149,TerrierRetr(BM25),test-free-speech-debate-nshbbsbfb-con03a,RR@10,0.0
141,TerrierRetr(BM25),test-free-speech-debate-nshbbsbfb-pro03a,R@10,1.0
142,TerrierRetr(BM25),test-free-speech-debate-nshbbsbfb-pro03a,R@100,1.0
143,TerrierRetr(BM25),test-free-speech-debate-nshbbsbfb-pro03a,RR@10,0.3333333333333333
144,TerrierRetr(BM25),test-free-speech-debate-nshbbsbfb-pro04a,R@10,0.0
145,TerrierRetr(BM25),test-free-speech-debate-nshbbsbfb-pro04a,R@100,0.0
146,TerrierRetr(BM25),test-free-speech-debate-nshbbsbfb-pro04a,RR@10,0.0
